Licence Number,Licence Status,Licence Status Date,Lic. EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Licence Surface Location,Location Latitude,Location Longitude,Licensee  BA Code,Licensee Name,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,Reporting Facility ID,Facility Subtype,Facility Name,Field or Area,Operator Code,Operator Name,First Volumetric Activity Date,Last Volumetric Activity Date
F21169    ,Amended,"May 30, 2023",400,"May 01, 2001","May 30, 2023",00/11-26-079-09W6,55.877968,-119.295638,A1KN,NorthRiver Midstream Inc.,"Regenerative, Acid Gas Injection","2,826.40",2672.5,0,0,0,0,250,61,191.15, ,0,98.2,ABGS0004186,Gas Gathering Sys,DUKE ENERGY GORDONDALE,GORDONDALE,A1KN,NorthRiver Midstream Inc.,"Jan 01, 2000","Dec 01, 2023"
F21171    ,Issued,"Oct 05, 2016",10,"Mar 01, 2001", ,02/11-24-079-11W6,55.862806,-119.581037,A1KN,NorthRiver Midstream Inc., ,739, , , , , , , , , , , ,ABGP0001163,Gas Plant Sweet,SPECTRA GORDONDALE WEST GAS PLANT,GORDONDALE,A1KN,NorthRiver Midstream Inc.,"Jan 01, 1991","Feb 01, 2023"
F21498    ,Abandoned,"Sep 30, 2021",300,"Mar 01, 2001","Jan 16, 2012",00/07-16-098-05W6,57.500935,-118.740465,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Flaring, CO2 removal to LP flare",450,439.5, , , , , , ,0.12, ,0.12, ,ABBT0089917,Gas Group,BOTHA 7-16-98-5w6,BOTHA,0HE9,Canadian Natural Resources Limited,"May 01, 2006","Dec 01, 2014"
F21498    ,Abandoned,"Sep 30, 2021",300,"Mar 01, 2001","Jan 16, 2012",00/07-16-098-05W6,57.500935,-118.740465,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Flaring, CO2 removal to LP flare",450,439.5, , , , , , ,0.12, ,0.12, ,ABCS0021498,Compressor Station,BP CANADA ENERGY COMPANY,BOTHA,0HE9,Canadian Natural Resources Limited, , 
F21498    ,Abandoned,"Sep 30, 2021",300,"Mar 01, 2001","Jan 16, 2012",00/07-16-098-05W6,57.500935,-118.740465,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Flaring, CO2 removal to LP flare",450,439.5, , , , , , ,0.12, ,0.12, ,ABGP0119984,Gp Acid Gas Flaring,Botha 7-16-98-5W6,BOTHA,0HE9,Canadian Natural Resources Limited,"Jan 01, 2012","Jul 01, 2019"
F21498    ,Abandoned,"Sep 30, 2021",300,"Mar 01, 2001","Jan 16, 2012",00/07-16-098-05W6,57.500935,-118.740465,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Flaring, CO2 removal to LP flare",450,439.5, , , , , , ,0.12, ,0.12, ,ABGS0004308,Gas Gathering Sys,BOTHA 7-16-98-5w6,BOTHA,0HE9,Canadian Natural Resources Limited,"Jan 01, 2000","Feb 01, 2019"
F21579    ,Abandoned,"Jan 15, 2004",10,"Feb 21, 2001", ,00/09-09-052-21W5,53.477412,-117.026093,A6FW,Vermilion Energy Inc., ,124, , , , , , , , , , , ,ABGP0001896,Gas Plant Sweet,CHEVRON MEDICINE LODGE,MEDICINE LODGE,A6FW,Vermilion Energy Inc.,"Jan 01, 1996","Apr 01, 2001"
F21589    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,00/05-33-008-22W4,49.689639,-112.934511,A04N,Tamarack Valley Energy Ltd., ,239.7, , , , , , , , , , , ,ABBT0055905,Gas Group,PINNACLE KIPP 5-33,PENNY,A04N,Tamarack Valley Energy Ltd.,"Jun 01, 1997","Nov 01, 2013"
F21589    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,00/05-33-008-22W4,49.689639,-112.934511,A04N,Tamarack Valley Energy Ltd., ,239.7, , , , , , , , , , , ,ABBT0129186,Gas Proration - S.e.,SOUTH KIPP PRORATED BATTERY 05-33,PENNY,A04N,Tamarack Valley Energy Ltd.,"Nov 01, 2013","Dec 01, 2023"
F21589    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,00/05-33-008-22W4,49.689639,-112.934511,A04N,Tamarack Valley Energy Ltd., ,239.7, , , , , , , , , , , ,ABGP0101007,Gas Plant Sweet,BONAVISTA KIPP 5-33 GAS PLANT,PENNY,A04N,Tamarack Valley Energy Ltd.,"Mar 01, 2009","Dec 01, 2023"
F21622    ,Abandoned,"Jul 27, 2020",10,"Mar 01, 2001", ,00/13-33-110-04W6,58.598997,-118.610448,0A85,Winter Petroleum Ltd., ,181, , , , , , , , , , , ,ABGP0001729,Gas Plant Sweet,CALVALLEY RAINBOW,RAINBOW,A0NF,Links Northern Resources Ltd., , 
F21622    ,Abandoned,"Jul 27, 2020",10,"Mar 01, 2001", ,00/13-33-110-04W6,58.598997,-118.610448,0A85,Winter Petroleum Ltd., ,181, , , , , , , , , , , ,ABGS0004699,Gas Gathering Sys,CALVALLEY RAINBOW GAS GATHERING,RAINBOW,0A85,Winter Petroleum Ltd.,"Jan 01, 2000","Jan 01, 2014"
F21696    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,00/16-09-030-19W4,51.559771,-112.60995,A517,Long Run Exploration Ltd., ,212.4, , , , , , , , , , , ,ABGS0002387,Gas Gathering Sys,BAYTEX DRUMHELLER,WAYNE-ROSEDALE,A517,Long Run Exploration Ltd.,"Jan 01, 2000","Dec 01, 2023"
F21701    ,Amended,"May 28, 2003",10,"Mar 01, 2001","Aug 26, 2006",00/05-10-033-26W4,51.814734,-113.615301,A517,Long Run Exploration Ltd., ,207.5,175.5, , , , ,56, ,0, , , ,ABBT0118600,Gas Group,WIMB 10-20-33-26W4 GROUP BATTERY,WIMBORNE,A517,Long Run Exploration Ltd.,"Oct 01, 2011","Apr 01, 2019"
F21701    ,Amended,"May 28, 2003",10,"Mar 01, 2001","Aug 26, 2006",00/05-10-033-26W4,51.814734,-113.615301,A517,Long Run Exploration Ltd., ,207.5,175.5, , , , ,56, ,0, , , ,ABCS0021701,Compressor Station,BAYTEX ENERGY LTD,WIMBORNE,A517,Long Run Exploration Ltd., , 
F21701    ,Amended,"May 28, 2003",10,"Mar 01, 2001","Aug 26, 2006",00/05-10-033-26W4,51.814734,-113.615301,A517,Long Run Exploration Ltd., ,207.5,175.5, , , , ,56, ,0, , , ,ABGP0077324,Gas Plant Sweet,BAYTEX WIMBORNE 5-10 GAS PLANT,WIMBORNE,A517,Long Run Exploration Ltd.,"May 01, 2003","Dec 01, 2023"
F21701    ,Amended,"May 28, 2003",10,"Mar 01, 2001","Aug 26, 2006",00/05-10-033-26W4,51.814734,-113.615301,A517,Long Run Exploration Ltd., ,207.5,175.5, , , , ,56, ,0, , , ,ABGS0003183,Gas Gathering Sys,BAYTEX WIMBORNE,WIMBORNE,A517,Long Run Exploration Ltd.,"Jan 01, 2000","Dec 01, 2023"
F21793    ,Amended,"Jun 14, 2007",10,"Mar 06, 2001","Jun 14, 2007",00/01-06-041-07W5,52.4969,-114.9898,A7M1,Canlin Energy Corporation, ,"3,380.00",2950,0,0,460,310,0,760,0, , , ,ABGP0001122,Gas Plant Sweet,CENTRAL FERRIER GP 01-06,FERRIER,A68P,Canlin Resources Partnership,"Jan 01, 1991","Dec 01, 2023"
F21793    ,Amended,"Jun 14, 2007",10,"Mar 06, 2001","Jun 14, 2007",00/01-06-041-07W5,52.4969,-114.9898,A7M1,Canlin Energy Corporation, ,"3,380.00",2950,0,0,460,310,0,760,0, , , ,ABGS0006482,Gas Gathering Sys,CONOCO FERRIER 04-13,FERRIER,A5D4,Cenovus Energy Inc.,"Sep 01, 2002","Dec 01, 2023"
F21793    ,Amended,"Jun 14, 2007",10,"Mar 06, 2001","Jun 14, 2007",00/01-06-041-07W5,52.4969,-114.9898,A7M1,Canlin Energy Corporation, ,"3,380.00",2950,0,0,460,310,0,760,0, , , ,ABIF0009478,Enh Rvry Sch,PETRO CANADA FERRIER,FERRIER,A68P,Canlin Resources Partnership,"Oct 01, 2001","May 01, 2023"
F21810    ,Amended,"Aug 25, 2009",300,"Mar 06, 2001","Aug 25, 2009",00/01-18-001-08W4,49.03124,-111.053354,A1GR,Pine Cliff Energy Ltd.,"Regenerative, Acid Gas Flaring",150,140, , , , , , ,0.5, ,0.5, ,ABBT0099427,Gas Proratn Not Sea,CMG BLACK BUTTE 1-18-1-8,ADEN,A1GR,Pine Cliff Energy Ltd.,"Nov 01, 2008","Dec 01, 2023"
F21810    ,Amended,"Aug 25, 2009",300,"Mar 06, 2001","Aug 25, 2009",00/01-18-001-08W4,49.03124,-111.053354,A1GR,Pine Cliff Energy Ltd.,"Regenerative, Acid Gas Flaring",150,140, , , , , , ,0.5, ,0.5, ,ABBT0099428,Gas Group,CMG BLACK BUTTE 1-18-1-8 (M),ADEN,A1GR,Pine Cliff Energy Ltd.,"Nov 01, 2008","Dec 01, 2023"
F21810    ,Amended,"Aug 25, 2009",300,"Mar 06, 2001","Aug 25, 2009",00/01-18-001-08W4,49.03124,-111.053354,A1GR,Pine Cliff Energy Ltd.,"Regenerative, Acid Gas Flaring",150,140, , , , , , ,0.5, ,0.5, ,ABGP0001048,Gp Acid Gas Flaring,ALTANA BLACK BUTTE,ADEN,A1GR,Pine Cliff Energy Ltd.,"Jan 01, 1991","Dec 01, 2023"
F2187     ,Amended,"Mar 25, 2010",400,"May 01, 2001","Mar 25, 2010",00/04-33-017-12W4,50.4714,-111.6071,A81C,Campus Energy Partners Operations Inc.,"Regenerative, Acid Gas Injection",708,643.7,0,0,28.4,36.5,0,19.9,9.6, ,0,89.7,ABGP0001114,Gp Acid Gas Inj,CAMPUS BANTRY,BANTRY,A81C,Campus Energy Partners Operations Inc.,"Jan 01, 1991","Dec 01, 2023"
F2187     ,Amended,"Mar 25, 2010",400,"May 01, 2001","Mar 25, 2010",00/04-33-017-12W4,50.4714,-111.6071,A81C,Campus Energy Partners Operations Inc.,"Regenerative, Acid Gas Injection",708,643.7,0,0,28.4,36.5,0,19.9,9.6, ,0,89.7,ABGS0076615,Gas Gathering Sys,ALTAGAS BANTRY - PRINCESS,BANTRY,A81C,Campus Energy Partners Operations Inc.,"Feb 01, 2003","Dec 01, 2023"
F2187     ,Amended,"Mar 25, 2010",400,"May 01, 2001","Mar 25, 2010",00/04-33-017-12W4,50.4714,-111.6071,A81C,Campus Energy Partners Operations Inc.,"Regenerative, Acid Gas Injection",708,643.7,0,0,28.4,36.5,0,19.9,9.6, ,0,89.7,ABIF0100590,Enh Rvry Sch,ACID GAS DISPOSAL,BANTRY,A81C,Campus Energy Partners Operations Inc.,"Jan 01, 2009","Oct 01, 2012"
F2187     ,Amended,"Mar 25, 2010",400,"May 01, 2001","Mar 25, 2010",00/04-33-017-12W4,50.4714,-111.6071,A81C,Campus Energy Partners Operations Inc.,"Regenerative, Acid Gas Injection",708,643.7,0,0,28.4,36.5,0,19.9,9.6, ,0,89.7,ABIF0124397,Acid Disposal,ACID GAS DISPOSAL,BANTRY,A81C,Campus Energy Partners Operations Inc.,"Nov 01, 2012","Dec 01, 2023"
F21911    ,Amended,"Jan 09, 2024",600,"Feb 28, 2001","Jan 09, 2024",00/11-18-074-12W6,55.412354,-119.835183,A734,Veresen Midstream General Partner Inc.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Superclaus Process, MCRC Process ","10,249.00",9450,0,0,0,0,1041.8,387,427.8,420.8,6.84,98.4,ABBT8450005,Gas Group,CHIEFTAIN SINCLAIR SWEET GAS GRP,SINCLAIR,26,Ovintiv Canada ULC,"May 01, 1989","Feb 01, 2017"
F21911    ,Amended,"Jan 09, 2024",600,"Feb 28, 2001","Jan 09, 2024",00/11-18-074-12W6,55.412354,-119.835183,A734,Veresen Midstream General Partner Inc.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Superclaus Process, MCRC Process ","10,249.00",9450,0,0,0,0,1041.8,387,427.8,420.8,6.84,98.4,ABGP0001147,Gp Sulphur Rcvry,VERESEN HYTHE 11-18-074-12W6 GP,SINCLAIR,A938,Pembina Gas Infrastructure Inc.,"Jan 01, 1991","Dec 01, 2023"
F21911    ,Amended,"Jan 09, 2024",600,"Feb 28, 2001","Jan 09, 2024",00/11-18-074-12W6,55.412354,-119.835183,A734,Veresen Midstream General Partner Inc.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Superclaus Process, MCRC Process ","10,249.00",9450,0,0,0,0,1041.8,387,427.8,420.8,6.84,98.4,ABGP0001756,Gas Plant Sweet,AEC WEST HYTHE 14-18,SINCLAIR,0.00E+00,Encana Western Resources Ltd.,"Jan 01, 1999","Sep 01, 2002"
F21911    ,Amended,"Jan 09, 2024",600,"Feb 28, 2001","Jan 09, 2024",00/11-18-074-12W6,55.412354,-119.835183,A734,Veresen Midstream General Partner Inc.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Superclaus Process, MCRC Process ","10,249.00",9450,0,0,0,0,1041.8,387,427.8,420.8,6.84,98.4,ABGS0003628,Gas Gathering Sys,AEC WEST SINCLAIR (SOUR),SINCLAIR,A938,Pembina Gas Infrastructure Inc.,"Jan 01, 2000","Dec 01, 2023"
F21911    ,Amended,"Jan 09, 2024",600,"Feb 28, 2001","Jan 09, 2024",00/11-18-074-12W6,55.412354,-119.835183,A734,Veresen Midstream General Partner Inc.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Superclaus Process, MCRC Process ","10,249.00",9450,0,0,0,0,1041.8,387,427.8,420.8,6.84,98.4,ABGS0004590,Gas Gathering Sys,VERESEN HYTHE RICH SOUR,SINCLAIR,A938,Pembina Gas Infrastructure Inc.,"Jan 01, 2000","Dec 01, 2023"
F21978    ,Amended,"Aug 16, 2002",10,"Mar 05, 2001","Jun 18, 2007",00/11-27-022-04W4,50.901965,-110.342678,A2TG,TAQA North Ltd., ,10,95,0,0,0,0,0.1,0,0,0, , ,ABBT1400043,Gas Group,AMERADA BINDLOSS 11-27,BINDLOSS,A2TG,TAQA North Ltd.,"Jun 01, 1989","Dec 01, 2023"
F21978    ,Amended,"Aug 16, 2002",10,"Mar 05, 2001","Jun 18, 2007",00/11-27-022-04W4,50.901965,-110.342678,A2TG,TAQA North Ltd., ,10,95,0,0,0,0,0.1,0,0,0, , ,ABGP0099610,Gas Plant Sweet,BINDLOSS NORTH GAS PLANT,BINDLOSS,A2TG,TAQA North Ltd.,"Oct 01, 2008","Dec 01, 2023"
F21978    ,Amended,"Aug 16, 2002",10,"Mar 05, 2001","Jun 18, 2007",00/11-27-022-04W4,50.901965,-110.342678,A2TG,TAQA North Ltd., ,10,95,0,0,0,0,0.1,0,0,0, , ,ABGS0002488,Gas Gathering Sys,UMC BINDLOSS NORTH,BINDLOSS,A2TG,TAQA North Ltd.,"Jan 01, 2000","Dec 01, 2023"
F21988    ,Amended,"Aug 16, 2002",10,"Mar 05, 2001","Aug 26, 2006",00/11-20-022-03W4,50.887351,-110.388778,A2TG,TAQA North Ltd., ,10,95,0,0,0,0,0.1,0,0,0, , ,ABBT1400001,Gas Group,AMERADA BINDLOSS 11-20,BINDLOSS,A2TG,TAQA North Ltd.,"Jun 01, 1989","Dec 01, 2023"
F21988    ,Amended,"Aug 16, 2002",10,"Mar 05, 2001","Aug 26, 2006",00/11-20-022-03W4,50.887351,-110.388778,A2TG,TAQA North Ltd., ,10,95,0,0,0,0,0.1,0,0,0, , ,ABGP0099613,Gas Plant Sweet,BINDLOSS SOUTH GAS PLANT,BINDLOSS,A2TG,TAQA North Ltd.,"Oct 01, 2008","Dec 01, 2023"
F21988    ,Amended,"Aug 16, 2002",10,"Mar 05, 2001","Aug 26, 2006",00/11-20-022-03W4,50.887351,-110.388778,A2TG,TAQA North Ltd., ,10,95,0,0,0,0,0.1,0,0,0, , ,ABGS0002215,Gas Gathering Sys,UMC RESOURCES BINDLOSS,BINDLOSS,A2TG,TAQA North Ltd.,"Jan 01, 2000","Dec 01, 2023"
F22007    ,Amended,"May 11, 2004",300,"Mar 05, 2001","Aug 26, 2006",02/03-29-092-20W4,57.00474,-113.188432,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Flaring","1,183.00",1126, , , , , , ,0.16, ,0.01, ,ABGP0001589,Gas Plant Sweet,LIEGE 3-29-92-20W4,LIEGE,0HE9,Canadian Natural Resources Limited,"Jan 01, 1991","Apr 01, 2016"
F22012    ,Abandoned,"Aug 11, 2013",300,"Mar 02, 2001","Jul 18, 2007",00/07-05-026-12W4,51.188721,-111.640045,0HE9,Canadian Natural Resources Limited,Nonregenerative,128.3,125.5,0,0,0,0,0,0,0.02, ,0, ,ABGP0001195,Gas Plant Sweet,LARIO CESSFORD,CESSFORD,A5D4,Cenovus Energy Inc.,"Jan 01, 1991","Dec 01, 2010"
F22065    ,Amended,"Oct 22, 2014",10,"Mar 01, 2001","May 06, 2014",00/10-29-106-05W6,58.233086,-118.78434,A7HE,Tallahassee Exploration Inc., ,31,30.51,0,0,0,0,0,0.3,0, , , ,ABBT4520017,Gas Group,"SOLEX HARO #3, 10-29",RAINBOW,A7HE,Tallahassee Exploration Inc.,"May 01, 1989","Dec 01, 2023"
F22065    ,Amended,"Oct 22, 2014",10,"Mar 01, 2001","May 06, 2014",00/10-29-106-05W6,58.233086,-118.78434,A7HE,Tallahassee Exploration Inc., ,31,30.51,0,0,0,0,0,0.3,0, , , ,ABGP0001303,Gas Plant Sweet,* SOLEX HARO,HARO,0L27,625894 Alberta Inc., , 
F22065    ,Amended,"Oct 22, 2014",10,"Mar 01, 2001","May 06, 2014",00/10-29-106-05W6,58.233086,-118.78434,A7HE,Tallahassee Exploration Inc., ,31,30.51,0,0,0,0,0,0.3,0, , , ,ABGP0128197,Gas Plant Sweet,HARO #3,RAINBOW,A7HE,Tallahassee Exploration Inc.,"Sep 01, 2013","Oct 01, 2019"
F22065    ,Amended,"Oct 22, 2014",10,"Mar 01, 2001","May 06, 2014",00/10-29-106-05W6,58.233086,-118.78434,A7HE,Tallahassee Exploration Inc., ,31,30.51,0,0,0,0,0,0.3,0, , , ,ABIF0009243,Enh Rvry Sch,CALAHOO HARO #3 10-20 SWD,RAINBOW,A7AZ,SanLing Energy Ltd.,"Jan 01, 1998","Apr 01, 2012"
F22065    ,Amended,"Oct 22, 2014",10,"Mar 01, 2001","May 06, 2014",00/10-29-106-05W6,58.233086,-118.78434,A7HE,Tallahassee Exploration Inc., ,31,30.51,0,0,0,0,0,0.3,0, , , ,ABIF0149095,Enh Rvry Sch,Calahoo Haro #3 10-20SWD,RAINBOW,A7AZ,SanLing Energy Ltd., , 
F22071    ,Amended,"Mar 25, 2021",10,"May 01, 2001","Mar 25, 2021",00/15-22-035-20W4,52.024571,-112.775986,A8BP,Bornite Energy Ltd., ,141.3,140.3,0,0,0,0,0,5.6,0, , , ,ABGP0001797,Gas Plant Sweet,SHAMAN FENN BIG VALLEY GAS PLANT 15-22,FENN-BIG VALLEY,A8BP,Bornite Energy Ltd.,"Jan 01, 2002","Dec 01, 2023"
F22071    ,Amended,"Mar 25, 2021",10,"May 01, 2001","Mar 25, 2021",00/15-22-035-20W4,52.024571,-112.775986,A8BP,Bornite Energy Ltd., ,141.3,140.3,0,0,0,0,0,5.6,0, , , ,ABGS0004085,Gas Gathering Sys,SHAMAN FENN-BIG VALLEY,FENN-BIG VALLEY,A8BP,Bornite Energy Ltd.,"Jan 01, 2000","Dec 01, 2023"
F22077    ,Abandoned,"Dec 31, 2004",300,"Mar 06, 2001", ,00/07-17-090-20W4,56.804478,-113.152673,A5RX,Bonavista Energy Corporation, ,180, , , , , , , ,0.62, , , ,ABGP0001551,Gp Acid Gas Inj,TRIQUEST LEIGE,LIEGE,A573,Tourmaline Oil Corp., , 
F22199    ,Issued,"Feb 28, 2001",10,"Feb 28, 2001", ,00/10-33-085-11W6,56.415034,-119.670956,A73W,Enercapita Energy Ltd., ,70, , , , , , , , , , , ,ABGP0001424,Gas Plant Sweet,Boundary Lake Central 10-33 Plant,HILL,A73W,Enercapita Energy Ltd.,"Jan 01, 1991","Nov 01, 2023"
F22204    ,Abandoned,"Aug 10, 2008",10,"Mar 06, 2001", ,00/11-01-079-06W4,55.819573,-110.80529,0HE9,Canadian Natural Resources Limited, ,140, , , , , , , , , , , , , , , , , , , 
F22209    ,Abandoned,"Jan 28, 2021",10,"Mar 06, 2001", ,00/15-12-080-13W4,55.924553,-111.894793,A0TK,AltaGas Ltd., ,210, , , , , , , , , , , ,ABGS0003841,Gas Gathering Sys,SUPERMAN THORNBURY,THORNBURY,A0TK,AltaGas Ltd.,"Jan 01, 2000","Jan 01, 2020"
F22209    ,Abandoned,"Jan 28, 2021",10,"Mar 06, 2001", ,00/15-12-080-13W4,55.924553,-111.894793,A0TK,AltaGas Ltd., ,210, , , , , , , , , , , ,ABIF0008926,Disposal,UNEX ET AL THORNBURY,THORNBURY,A0TK,AltaGas Ltd.,"Jun 01, 1996","Jun 01, 2002"
F2223     ,Abandoned,"Jun 25, 2018",300,"Mar 05, 2001","Nov 07, 2006",00/03-05-017-17W4,50.399167,-112.310007,0HE9,Canadian Natural Resources Limited, ,281,279.5,0,0,0,0, , ,0.57, ,0.57, ,ABBT0082471,Gas Group,ARMADA 3-5 HP MWB,HECTOR,0HE9,Canadian Natural Resources Limited,"Sep 01, 2004","Mar 01, 2018"
F2223     ,Abandoned,"Jun 25, 2018",300,"Mar 05, 2001","Nov 07, 2006",00/03-05-017-17W4,50.399167,-112.310007,0HE9,Canadian Natural Resources Limited, ,281,279.5,0,0,0,0, , ,0.57, ,0.57, ,ABBT0082472,Gas Group,ARMADA 3-5-17-17w4 LP,HECTOR,0HE9,Canadian Natural Resources Limited,"Sep 01, 2004","May 01, 2018"
F2223     ,Abandoned,"Jun 25, 2018",300,"Mar 05, 2001","Nov 07, 2006",00/03-05-017-17W4,50.399167,-112.310007,0HE9,Canadian Natural Resources Limited, ,281,279.5,0,0,0,0, , ,0.57, ,0.57, ,ABGP0001899,Gp Acid Gas Inj,TARRAGON HECTOR,HECTOR,A5D4,Cenovus Energy Inc.,"Jan 01, 1996","May 01, 2015"
F2224     ,Issued,"Mar 02, 2001",300,"Mar 02, 2001", ,00/16-07-017-18W4,50.424707,-112.458961,A7AZ,SanLing Energy Ltd.,None,180, , , , , , , ,0.1, , , ,ABBT0152071,Gas Group,Ey,EYREMORE,A89A,Revolution Oil & Gas Corporation,"Feb 01, 2019","Dec 01, 2023"
F2224     ,Issued,"Mar 02, 2001",300,"Mar 02, 2001", ,00/16-07-017-18W4,50.424707,-112.458961,A7AZ,SanLing Energy Ltd.,None,180, , , , , , , ,0.1, , , ,ABGP0001734,Gp Sulphur Rcvry,EYREMORE 16-7-17-18w4,EYREMORE,A7AZ,SanLing Energy Ltd.,"Jan 01, 1998","Mar 01, 2021"
F22254    ,Amended,"Oct 09, 2013",600,"Feb 28, 2001","Oct 09, 2013",00/04-08-075-07W6,55.477876,-119.055745,26,Ovintiv Canada ULC,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","7,326.00",6561.3,0,0,0,0,590.8,1659.1,483.1,477,6.26,98.4,ABBT0068666,Crude Oil Single,GREYWOLF KNOPICK,WEMBLEY,A1FX,Insignia Energy Ltd.,"Sep 01, 2002","Jan 01, 2004"
F22254    ,Amended,"Oct 09, 2013",600,"Feb 28, 2001","Oct 09, 2013",00/04-08-075-07W6,55.477876,-119.055745,26,Ovintiv Canada ULC,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","7,326.00",6561.3,0,0,0,0,590.8,1659.1,483.1,477,6.26,98.4,ABBT0103488,Gas Proration Efflue,ENCANA SEXSMITH PRORATED BATTERY,LA GLACE,26,Ovintiv Canada ULC,"Sep 01, 2009","Sep 01, 2023"
F22254    ,Amended,"Oct 09, 2013",600,"Feb 28, 2001","Oct 09, 2013",00/04-08-075-07W6,55.477876,-119.055745,26,Ovintiv Canada ULC,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","7,326.00",6561.3,0,0,0,0,590.8,1659.1,483.1,477,6.26,98.4,ABGP0001892,Gp Sulphur Rcvry,AEC SADDLE HILLS,LA GLACE,26,Ovintiv Canada ULC,"Jan 01, 1995","Dec 01, 2023"
F22254    ,Amended,"Oct 09, 2013",600,"Feb 28, 2001","Oct 09, 2013",00/04-08-075-07W6,55.477876,-119.055745,26,Ovintiv Canada ULC,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","7,326.00",6561.3,0,0,0,0,590.8,1659.1,483.1,477,6.26,98.4,ABGS0006457,Gas Gathering Sys,AEC DIMSDALE 10-10 LEG,ELMWORTH,26,Ovintiv Canada ULC,"Jun 01, 2002","Sep 01, 2013"
F22254    ,Amended,"Oct 09, 2013",600,"Feb 28, 2001","Oct 09, 2013",00/04-08-075-07W6,55.477876,-119.055745,26,Ovintiv Canada ULC,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","7,326.00",6561.3,0,0,0,0,590.8,1659.1,483.1,477,6.26,98.4,ABGS0152000,Gas Gathering Sys,Encana Sexsmith 4-8 Gathering System,LA GLACE,26,Ovintiv Canada ULC,"Apr 01, 2019","Dec 01, 2023"
F2226     ,Amended,"Sep 10, 2004",10,"Mar 05, 2001","Aug 26, 2006",00/01-18-017-18W4,50.428507,-112.45954,0HE9,Canadian Natural Resources Limited,None,850,844.1,0,0,0,0,12.9,0,0,0, , ,ABBT0082468,Gas Group,ARMADA 1-18-17-18w4 LP,EYREMORE,0HE9,Canadian Natural Resources Limited,"Sep 01, 2004","Dec 01, 2023"
F2226     ,Amended,"Sep 10, 2004",10,"Mar 05, 2001","Aug 26, 2006",00/01-18-017-18W4,50.428507,-112.45954,0HE9,Canadian Natural Resources Limited,None,850,844.1,0,0,0,0,12.9,0,0,0, , ,ABBT0082470,Gas Group,ARMADA 1-18-17-18w4 HP,EYREMORE,0HE9,Canadian Natural Resources Limited,"Sep 01, 2004","Dec 01, 2023"
F2226     ,Amended,"Sep 10, 2004",10,"Mar 05, 2001","Aug 26, 2006",00/01-18-017-18W4,50.428507,-112.45954,0HE9,Canadian Natural Resources Limited,None,850,844.1,0,0,0,0,12.9,0,0,0, , ,ABBT0148961,Gas Group,ARMADA 3-5-17-17W4 LP,EYREMORE,0HE9,Canadian Natural Resources Limited,"Jun 01, 2018","Dec 01, 2023"
F2226     ,Amended,"Sep 10, 2004",10,"Mar 05, 2001","Aug 26, 2006",00/01-18-017-18W4,50.428507,-112.45954,0HE9,Canadian Natural Resources Limited,None,850,844.1,0,0,0,0,12.9,0,0,0, , ,ABGP0001480,Gas Plant Sweet,EYREMORE 1-18-17-18w4,EYREMORE,0HE9,Canadian Natural Resources Limited,"Jan 01, 1991","Dec 01, 2023"
F2226     ,Amended,"Sep 10, 2004",10,"Mar 05, 2001","Aug 26, 2006",00/01-18-017-18W4,50.428507,-112.45954,0HE9,Canadian Natural Resources Limited,None,850,844.1,0,0,0,0,12.9,0,0,0, , ,ABGS0082463,Gas Gathering Sys,ARMADA 1-18-17-18w4 LP,EYREMORE,0HE9,Canadian Natural Resources Limited,"Sep 01, 2004","Dec 01, 2023"
