Month,Raw_Gas_Sum_E3m3/d
2011-09,"2,000.002,811.006074010,550.002555501,831.003,380.001,200.003,610.007,748.002,550.006,229.008001,042.0042562,550.00421135502831,040.0035061512,008.50707.91,700.0043152801,700.0039648.1566545612031145082111,510.002901411752966235645705665647002,000.00330845283.2127.581020,550.00650622.48203,398.004501,062.001,700.001,415.842003,823.001,700.001,699.003,397.004,270.001,841.0014,158.008503202,322.00671.942,233.002,233.002,548.501,416.001,342.009683,794.503,794.501,982.20"
2011-10,"7043,522.004,875.00260606423303,610.002,550.003,110.002,673.70408,452.002463409011912,008.505663504251,352.001101701,260.00 2,350.0010,850.001,352.008,384.60125337.87,748.004,875.007069435664,875.006502,395.007.1622.483,823.001,415.846,218.002,650.007,297.251,696.003,256.408,384.601,700.003,794.503,794.50"
2011-11,"2,000.002,811.005,981.0011,179.0099011,179.006001,090.008001,042.0045318050616234028390170450174396456182212290400623281.15092,000.005643307.1065020433.940040014,158.003,115.00671.9410,142.64281.18,467.00566480"
2011-12,8424.9169.9
2012-01,"10,550.003533108001,042.00422,550.001,040.004,050.002801,700.0012031182121,510.004001,865.00564564700337.8424845283.2707.920,550.00857.61651,274.004501,700.005071555201,699.004004003,397.0014,158.008501,696.00"
2012-02,"6010,550.00421131,040.00707.928056721240010065256.38106502042.51701654505074004002,650.008501,982.20"
2012-03,"2,811.006492,365.206,762.008001,042.001,300.001132831,160.003961,260.00456392212290566.3400623652125337.856.3171330283.270.8025042.5338.6312,035.001551,415.841,699.007,787.26400400014,158.008,043.001,700.003,794.503,794.50"
2012-04,"7,686.004,495.003,522.002555501,831.001643,610.006,229.001,042.002,673.7056422461131193503,381.00615707.91,700.00168.94,050.003821,352.006801101705702801,700.0048.15277.5150100510212 2,350.0040014110,850.006801,352.005641815641,400.00337.842412,010.00509124897510229.4424.9110710678127.58100622.481,700.001,700.005108501651,999.001,700.00507105155200520400400113.37,297.252,233.002,233.001,416.006,230.00565"
2012-05,"7041,353.001,606.002244,495.002,811.00605,981.004,875.0064940210,550.002,440.002552606,700.0011,179.00550606421,831.0011,179.003,380.003304,332.903,610.007,748.002,550.0015,000.0027810,249.001,700.001602832831977393533106,229.001,090.001706008001,042.00340242135422,673.70561,300.002,550.00226.6428,452.00162251132832251,040.0003503,381.009061512,008.501701,400.006,650.00566350707.99251,700.001,160.001,220.00168.94,050.00382301,352.006804346151,409.006,650.001105702804,046.501,700.00174396368.1748.153966604561801201693113741,250.0039240215013282002121,510.002,200.002401,200.00290283100 502,350.004001,132.0014110,850.007362,826.401751846231,352.00564340181566.228356615810,249.005643807003,681.006526885050015556.328212,010.004,875.001,400.00281.11,047.009433965661351551717,326.004,875.001,553.87350650150510330424.98454251,603.201104811,100.00198.2710423.6678127.5707.97.181020,550.00650622.48202831,700.00857.64251,982.00283.052501,700.0051042.5185339.81702,200.007001,812.401651,274.001,999.001,700.005071059,617.5012,035.001,415.842003,823.005201,699.004004003,397.001,132.0004,265.492,718.001,841.0014,158.003,115.002,650.008503207,297.252,322.001,540.002,233.002,233.001,416.0010,142.64281.116,311.008,495.006,230.006,650.008,467.003,446.003,794.503,794.504,814.006,650.004,814.005651,982.2028,037.0010,030.37566480566"
2012-06,"7044,495.003,522.005,981.0074040225511,179.001,831.0011,179.003303,610.007,748.002,550.0019,003.002781,700.002254531973536,229.001,050.00180226.6426051134452250615561701,400.006,650.001,700.003411,220.004501,352.006804,131.006,650.00174170180114132212211 4001410.11,352.003401,400.0050019,003.001,400.00566360424424510678707.97.1622.481,700.00425283.051,700.00510566.4339.8170700433.94004004,672.004,672.003,115.002,650.001,696.081,540.002,233.002,233.001,416.0010,142.646,650.008,467.006,650.00400"
2012-07,"7041,355.002242,811.005,981.006492,440.002556,700.0011,179.005501,831.0011,179.003,380.003301643,610.002,550.00180.32781,700.002832831973533106,229.0080097.5340887991,300.0051.54211328320,537.003,381.006152112,008.501701,400.006,650.00707.91,960.001,160.0070624,131.001,237.0015698.69156,650.00431742005,050.0045611316981,250.003921,183.0013281302122402904001,132.001419154,562.001,865.004002506231,234.003,115.001811,272.00100380566.36526828028212,010.007,748.001,960.001,400.004,648.705502,407.003965664257701401,755.00424.9845250110240.2227.1584422.6198.2423.68452,832.00707.97.1622.48857.62,550.004251,982.00283.05339.82,800.0066.51053.5169.93,823.004004001,132.00012,400.0015014,158.001,272.002,650.0032012,400.002,233.002,233.00566.341,416.0010,142.648506,650.005,947.008,467.006,650.00480"
2012-08,"7041,353.002,000.002242,811.004,875.006494022556,700.006,180.005502,365.203,380.003303,610.002,550.00180.32832831973533106,229.006001,050.002425638872,550.0051.54260555022561521707.99251,160.00168.94744,050.002507062124,131.0015915435704,046.505,050.001,260.0048.1566511383924021324741005103,534.002401,200.001001,132.001414,562.00400339.8330564713.83401,272.008,384.60158564380337.82,310.0050056.34244,875.00706281.11,047.002,803.003961551404242,832.101241,755.002,000.004,875.001,553.87475424845250283.2227.11,134.007,080.00423.6845127.52,832.00707.97.1810622.481,200.00283.0542.5382.3339.87002,800.002,000.001,274.001,999.00283.171,700.0066.53.5155169.92005207,787.261,415.843,397.001,132.00012,400.004,270.001,272.006,218.002,650.0047512,400.006,540.002,233.002,233.001,696.001,416.008,384.601,700.00281.11,342.005103,794.503,794.501,982.2028,037.00566"
2012-09,"1,353.002244,495.002,811.002552605501,831.004,332.903,610.007,748.002,550.0010,249.001604532832833102,487.0860097.52,673.70428,452.001,560.001132033,381.006152,400.00566350259251,700.00704,118.001,352.0068043698.64,046.5048.1540232240 260.62,350.0014110,850.00793175339.81843301,352.0055518156610,249.0065268337.81401,000.0012,010.005505091351551,648.301,553.87650510424.94251,603.20110240.2198.2127.57.1622.4818566.510512,035.001551,648.302,650.007,297.252,233.002,233.0011,163.001,416.0016,311.008,495.006,230.003,794.503,794.504,814.004,814.0040010,030.37566"
2012-10,"1,606.002241,831.004,332.9019735331056351.56233402,400.0021350254254317011482,200.00283100736181380400550396360623736502,395.008454251,603.20423.6707.9857.6283.051402,200.002,650.001,696.086,230.00"
2012-11,164100
2012-12,0
2013-01,"17012,008.50305095101,700.001,700.003,823.001,699.00"
2013-02,"7,686.003,522.006497398873,381.002146368.17396660374392506801,400.0012,010.001,130.001,812.409,617.5004,265.49"
2013-03,"8001,042.002,550.001132805673964562906231651,274.0050752014,158.00"
2013-04,"2244,495.002,811.002555501,831.007,748.0010,249.001973533106,229.002,487.081,042.0061512,008.501,700.006803961828322,350.0014168010,249.00424.9845707.97.1857.650712,035.003,823.007,297.252,233.002,233.003,794.503,794.5010,030.37"
2013-05,"7042,000.002244,495.002,811.003,522.00607404,875.0064940210,550.002559751252601,060.006,700.0011,179.006,180.005506064212,678.001,831.0011,179.002,365.203,380.003301,200.004,332.903,610.007,748.002,550.0015,000.00180.319,003.00278901,700.002832831977393533106,229.008001,042.00340135563422,673.70561,300.002,550.001,133.0051.542623252463406051134452831192251,040.003503,381.006152112,008.501,400.00566707.91,160.004253414744,050.002501,352.00680435644,131.004615698.6915170432801,700.005673961,260.00368.1739618066045612011316941831183741,250.0045083921,000.001,183.0015013247482122,113.002113,534.001,510.00240290 502,350.004001,132.0014110,850.003902501846236801,352.005643401818,384.601001585643807001,400.00566.368125337.81,359.0050056.345328212,010.004,875.0019,003.001,400.00281.14,648.709433965094256566232,718.402,000.004,875.006502,395.00510330424.98454251,603.20110584710423.6678707.97.181020,550.00650622.482831,700.00857.6283.05250283.21,700.0051085042.5338.63339.81707002,800.002,000.001651,274.00450283.171,700.005071059,617.503.51551,415.842003,823.005201,699.007,787.261,415.841,359.00400400113.33,397.001,132.0004,265.494,270.001,841.004,672.004,672.0014,158.001,274.006,218.002,650.008503207,297.252,322.00671.946,540.002,233.002,233.002,548.501,696.001,416.008,384.601,700.00281.11,342.0016,311.008505108,495.006,230.005,947.009683,446.003,794.503,794.504,814.004,814.001,982.2028,037.00"
2013-06,"4,495.002,811.003,522.007402555501,831.003,380.003,610.002,550.001604531971,090.008001,042.001352,550.00422466151,700.0068095151701103961701141,183.002122904001411841,272.001,400.001,133.008509433601551406501504811,100.00422.6622.48283.05339.87001,274.00169.91,415.842005201,699.0040040014,158.001,272.001,696.082,233.002,233.001,696.001,416.005103,794.503,794.50400"
2013-07,"1,606.007,686.002,811.003,522.006010,550.003,610.0019,003.00739442.36001,042.00563422,550.0051.56231,040.002,500.005654643280368.17660374821228350400736339.83303,115.00283.21,272.003801,400.001,133.00337.82,310.0028085028219,003.004,648.705502,803.003964251401716232,500.00845425584422.67,080.00198.2423.67.10650622.48857.62,550.001,982.00339.81651,274.005079,617.501555201,699.004004004,265.491,841.001,272.002,650.008503202,322.00671.945103,794.503,794.50"
2013-08,"7042,000.007,686.002244,495.002,811.003,522.0010,550.002552605506423303,610.007,748.002,550.0014015,000.00656,229.00340422,673.70421132831,040.00615562,400.00211,400.006,650.00566350707.9251,220.00680436,650.0028021120048.151801691,250.002122,200.001,200.00 260.62,350.0040014110,850.001752506805661,400.00566.3652337.81,359.002821,400.00509360155311,648.3002,000.006502,395.00510424.94251,603.20678127.57.1810622.48201,700.00857.61,700.005102,200.0016545050712,035.00155169.91,359.004004001,648.302,650.001,696.088507,297.25671.941,540.002,233.002,233.001,416.006,230.006,650.006,650.004001,982.20"
2013-09,"2,811.006010,550.002552605501,831.003,380.001643,610.002,550.006,229.008001,042.00422,673.701,300.002,550.00506421132833,381.00615566707.91,160.001,352.0043151,700.0048.151505101,510.00290 14110,850.001751,352.0010056670065212,010.0090124283.2127.58101,274.001,415.842003,823.005201,841.0014,158.002,322.002,840.002,233.002,233.004,531.001,416.003,794.503,794.501,982.20480"
2013-10,"2555501,831.0010,249.004531973531352,673.7042615350707.91,352.00211 2,350.001411,352.00283.21,272.0010,249.00650425707.9810857.6283.05339.8283.1712,035.002001,272.007,297.252,233.002,233.0040010,030.37"
2013-11,"2,000.007,686.002243,522.00140652,400.00707.9251,700.004401001581,400.00360317,326.002,000.003504811,100.00339.81,696.08671.94"
2013-12,212400400400
2014-01,"16024611912,008.501101701101,260.001701144,562.008,384.602,310.002,803.003604811,100.007,080.002,832.001,200.00565.21,062.003,823.007,787.261,415.8412,400.006,218.001,696.0812,400.008,384.601,700.00285"
2014-02,"4021,700.00700"
2014-03,"3,381.00565672121,200.0040038012,010.003960423.6250338.634004001,696.083,794.503,794.50"
2014-04,"1,606.002,811.003,522.004022555501,831.003,380.007,748.002254532832831973533401351,300.0042113283615707.91,160.00154561691,250.003922122112402902834001417367936230.15551813801,400.00337.81,000.0040039673330424.9110423.6707.97.1810622.48283.05679.67001051551,415.842001,699.004004003202,233.002,233.001,416.003,794.503,794.50400"
2014-05,"7041,606.002,000.002,811.006064940210,550.00255975125550601,831.003,380.003301,200.001643,610.007,748.002,550.002501,090.008001,042.003401,050.0013542887561,300.002,550.0050640421622461132831,040.003509061556211,160.003411,220.004,050.003823244311056415698.61,409.001702801,700.002003961,260.0012016941831181,250.003921,000.001821502122,113.002113,534.001,510.001,200.002902834001417362,826.40175184181283.2100566158300380700652681258008509039636014042408972,000.004245104251101,134.00422.61,130.00710423.66787.1020,550.00622.48201,700.004251,700.00510566.41707008,500.005701651,274.004501,700.0010512,035.003.51,415.842005201,699.007,787.26400400113.33,397.0001,841.0014,158.001,696.088503202,322.00671.942,840.002,233.002,233.004,531.008,043.001,416.001,700.002,836.709683,794.503,794.50565"
2014-06,"2,536.007041,353.002,811.00608,050.005,981.0010,550.002551,578.005506423,380.003303,610.002,550.0019,003.002781,700.006,229.006001,050.0013556342561,133.0051.5426231623406054452251,040.00035090615170707.92,500.0038243900698.6432804,046.501742001,260.0048.15277.51801,183.001321,200.00100141390175339.82966803301811,272.005705661,133.006526885050056.32828,050.0019,003.00706281.1396.45096561404246231,648.302,718.401,755.008972,500.001,553.872,395.00150475424510229.4110283.2198.271070.8678565566.4127.57.1810622.481,700.002501,700.0051085042.5338.63170283.17113.285071052831,415.847,787.264501,136.701,648.303,397.001814,270.001,841.004,672.004,672.003,115.001,272.004758502,233.002,233.008,043.001,416.001,700.00281.11,342.005103,794.503,794.50565"
2014-07,"7041,353.007,686.002,811.003,522.004022551,578.0011,179.006,180.0055012,678.0011,179.002,365.203,380.003301,200.003,610.002,550.0010,249.00901606,229.001,090.006008001,042.0034099561,300.002,550.00226.651.5421,560.00340113445283225203035061512,008.506,650.00350707.91,960.001,160.00168.94744,131.001,237.00900151,409.006,650.00435702804,046.501131691,250.0083921,183.004748510322123,534.001,200.00260.62,350.004001411,865.00400339.8296184713.834057010,249.001,400.006528002805004242821,960.0090281.19431351551241,755.0089770,450.001,553.872,395.00475424.98454251,603.201104811,134.001,130.00710565566.48100650622.48283.2185339.87001,812.408,500.005701651,274.001,999.0050710512,035.001,415.842005207,787.264004001,136.704,270.004,672.004,672.0014,158.001,274.003,115.002,650.004753207,297.251,540.002,233.002,233.008,043.002,548.501,696.001,416.0010,142.64281.12,836.705106,650.008,467.009683,446.003,794.503,794.504,814.006,650.004,814.001,982.2010,030.37"
2014-08,"7041,353.001,606.007,686.002,811.003,522.00608,050.007404,875.0040210,550.002551,578.006,700.006,180.00550609902,365.203,380.003301,200.002,550.0019,003.001,090.001,042.0013542180562,550.00226.651.54262325550445225061556707.99251,700.00425341168.947412434,131.001,237.00900159151,409.00435702805,050.0048.156651801201133111,250.004504021504741005102002122113,534.002831001124001419157362,826.40390400175250339.8296184680330564283.25705665643801,400.003,681.00800337.82808505004242824,875.008,050.0019,003.007069094339650915577062301248974,875.001,553.87510140.9283.2422.61,130.00678565566.4845127.57.1810020,550.00622.481,700.00283.21,700.00510566.43,398.00339.87001,812.408,500.005701651,274.004501,062.00113.281,700.00507851553,823.001,700.005204004003,397.001814,270.002,718.004,672.004,672.001,274.003,115.003202,322.002,233.002,233.002,548.501,696.001,416.0010,142.641,342.002,836.705108,467.009683,794.503,794.501,982.20480566"
2014-09,"2242,811.006010,550.002556,700.0011,179.0055011,179.003,610.002,550.002781,700.00160283283353310442.3170242421,300.00226.6422256151702,500.005651,160.004743823070324698.62801,260.00839247482401,132.00141250339.81843303401818,384.6038068337.8500282903963607,326.002,500.003508451104811,100.00423.6707.9622.48857.6165283.175071053.51557,787.26113.31,136.701,132.001,841.006,218.001,696.088502,322.002,233.002,233.001,416.008,384.601,700.00510565"
2014-10,"7047,686.003,522.006010,550.002,440.006,180.003301,200.0014065340425640162246340901191,040.003509022512,008.50707.94258034,050.003824,131.001702801,700.001201134408465551,400.001,000.0040031150424.9710810622.48679.61655073,823.003,397.001,841.008502,322.002,548.501,696.009683,794.503,794.505651,982.20"
2014-11,"11,179.001,831.0011,179.001644,332.906004535500425450168.95701742006651002112965641005643,681.004245653,398.001,999.00283.17433.91,700.002,718.003,115.002,650.0032010,142.645108,467.00566"
2014-12,"2,310.00566.4565.2285"
2015-01,"3,522.003301,400.00622.48"
2015-02,"2,811.00337.81551,415.841,699.001,136.70565"
2015-03,"2,811.003,522.006074010,550.002552601,060.001,831.003,380.003,610.002,550.007391,090.00422,673.704016225340901,040.009012,008.50566707.91,700.00168.91,352.0046151702801,260.00368.1748.15396660120311374100211 5014110,850.001846801,352.001,400.003,681.00337.885042470.8127.581020,550.001,982.007001651,999.004505079,617.501551,415.843,823.007,787.263,397.004,265.492,718.008508,043.001,700.008,495.006,230.003,446.001,982.20"
2015-04,"7041,355.001,353.004,495.003,522.00607404,875.0064910,550.002552601,578.0011,179.006,180.005501,831.0011,179.003,380.003307,748.002,550.0015,000.0022545328328319773935331060080097.5135422,673.701,300.00226.6428,452.001623405502831,040.0003,381.00906151701,400.006,650.00566350707.91,700.001,160.004,050.00621,352.00680434,131.00900151,409.006,650.005702804,046.501,700.0020048.156656601201131693113741,250.0039218215085102122111,510.002401,200.00 502,350.0040014110,850.002,826.402961841,234.000.11,352.005643401815705647001,400.003,681.001254,250.0028212,010.004,875.001,400.005661551244,875.001,553.876502,395.00845425110565566.4127.5707.97.1810020,550.00622.48857.61,200.00283.053,398.00339.87001651,274.004501,062.001,700.005071051,700.005204004003,397.0004,265.492,718.001,841.0014,158.003,115.002,650.008503207,297.252,322.001,540.002,233.002,233.001,696.001,416.0010,142.648,495.006,650.008,467.003,794.503,794.506,650.0040028,037.00"
2015-05,"7041,355.001,353.001,606.007,686.002242,811.003,522.00607404,875.0064940210,550.0025526011,179.00550606421,831.0099011,179.002,365.203,380.003301644,332.903,610.007,748.002,550.0014015,000.0019,003.00278651,700.001602254531973533106,229.001,090.0017060080097.51,042.003403,110.00242453135563422,673.701,300.002,550.00226.642162252463401135504452831192251,040.0003,381.0090615562,400.00211,400.006,650.00566350707.9251,700.001,160.001,220.004,050.00382250307062121,352.004311046698.61,409.006,650.001701105702804,046.501,700.0020048.151806654561801201693111,250.00450839215081002122111,510.002,200.001,200.00290283112 50260.64001,132.0014110,850.007362,826.401,865.00175339.81846231,234.006800.13301,352.00564340181283.25661585643807001,400.003,681.00566.3652337.885050015556.328212,010.004,875.0019,003.001,400.0090281.1396.44002,803.00396509135770311401712,832.1001,755.0089770,450.004,875.001,553.87736502,395.00564510330424.9140.98452501,603.20110283.2481227.17,080.00423.670.867885127.5707.97.1810020,550.00622.481,700.00857.61,200.001,982.00283.051,700.0051042.5382.3185566.43,398.00339.81702,200.00700565.21651,274.001,999.004501,062.00113.281,700.0066.5507851059,617.503.52001,700.00520400400113.34503,397.001,132.0004,265.494,270.002,718.001,841.004,672.004,672.0014,158.002,650.008503202,322.00671.941,540.002,233.002,233.004,531.003,256.401,416.00281.11,342.0016,311.005106,650.005,947.003,794.503,794.506,650.005655664001,982.20480"
2015-06,"2,811.007404,875.0064925511,179.005506012,678.001,831.0011,179.002,365.203,380.001,200.001644,332.906007,748.0025015,000.00902254532832831973533101708001,050.00453563561,300.002,550.00506226.651.54262325340035090615561,700.001,160.002503043951,237.0015698.6434,046.501745,050.0048.1518016981,250.0083921,183.001822122113,534.002401,200.001124001414,562.002,826.40175250339.82960.1330181283.21,272.001005705663801,133.00566.3688002801,359.0056.34534,875.0070690396.44,648.705509433965091551404241712,832.106231,648.3001,755.008974,875.006502,395.005641,048.00424510140.9110584422.6198.2565127.52,832.00707.97.1810650622.48201,700.00857.6283.05283.242.5382.3339.82,800.008,500.005701651,274.00283.17851053.52001285207,787.261,359.00400400113.31,136.701,648.30012,400.0018114,158.001,274.003,115.001,272.002,650.0012,400.008,043.002,548.5010,142.642,836.7016,311.008505108,467.009683,794.503,794.505655664001,982.20"
2015-07,"7041,355.007,686.003,400.002,811.003,522.00605,981.007404,875.0064940225511,179.005506064212,678.001,831.0099011,179.003,380.003301,200.004,332.906007,748.00250901601708001,042.003,110.002424531355634288718099562,550.004042252465501191,040.00035061522521170707.91,700.001,960.001,160.00450803168.94,050.003822503070621243110698.61,409.001701105702801,700.00174396277.518066512031111439281005102122111,510.001124001411,865.001752502961841,164.001,234.00680564713.83403,115.00181283.21002835705665647001,400.003,681.00566.368337.84532824,875.001,960.0090396.44,648.7040042.51,047.005661351551451402,832.101241,755.0070,450.004,875.00732,395.00150986510229.4140.9845110283.24815841,134.0071070.86785652,832.007.1020,550.00650622.48201,700.00857.62,550.00283.21,700.0051085042.5382.3185679.6566.43,398.00339.8700565.22,800.002,000.008,500.005701651,274.001,999.00283.17433.91,062.001,700.0066.55071051551,415.843,823.005201,699.007,787.264004003,397.0004,270.002,718.0014,158.001,274.003,115.002,650.001,415.842,322.006,540.002,233.002,233.003,398.008,043.002,548.5011,163.003,256.401,416.001,700.0010,142.642851,342.002,836.7016,311.005108,495.006,230.008,467.009684,814.004,814.005655661,982.20480"
2015-08,"2,000.002,811.00605,981.004,875.0064910,550.002551,578.005506012,678.001,831.002,365.201,200.001643,610.007,748.002,550.0015,000.00901,042.0024213556342562,550.00226.651.542251191,040.00035061512,008.50170350707.94504,050.0038243900432801,700.0017439648.154561203113922122111,510.002902,350.004001414001752961,164.006236805641005705665647001,133.00337.82,310.004,875.007065505094252,832.102,000.004,875.006502,395.00564150510330424.9678565566.4127.5810020,550.00622.481,700.00250283.21,700.00510382.3338.63566.4565.21651,274.00450433.91,700.005071555204004003,397.0004,270.001,841.003,115.008507,297.252,322.00671.942,233.002,233.002,548.501,416.0010,142.642851,342.005108,467.009683,794.503,794.50400"
2015-09,"1,353.003,400.002,811.006492,550.001,700.002,487.088871,300.002466051131,981.00119203219251,160.00706211017016939240213232200260.62836525666561,648.302,718.401,553.87150422.6025066.51,648.300566"
2015-10,"7043,400.002246074010,550.001,831.003302832833101,090.00421802,400.0012,008.50251,700.0038246698.61,700.00368.173966603742122111,510.00240400181566.22831,708.00700682,310.00850171110622.48201059,617.503,823.004004001,136.701,841.002,322.004,531.0011,163.00565"
2015-11,"6,180.002,365.2073917034011330461,409.001,260.00368.17660374504,562.001848,384.60652904,648.702,407.00424.95842,832.00020510566.41702,800.009,617.501,415.844,265.494,270.006,218.008,384.601,700.00850"
2015-12,9754090341110280509510566.4
2016-01,"2,811.0011,179.0011,179.00226.603,381.001,409.001743,534.004,562.0012,010.004,648.702,407.005845652,832.002,800.002,000.00283.1712,400.003,115.0032012,400.006,540.0010,142.648508,467.00"
2016-02,"2,000.002,811.002555503,610.001,090.008001,042.002,550.00283615925168.9125702003961203115102002122901004001415645641504243607,326.001241,755.002,000.003509861,100.0020,550.003,398.00339.81,274.001,999.004501,700.0052040040014,158.001,696.08671.942,233.002,233.00566"
2016-03,"1,353.002243,522.0064910,550.002552605501,831.003,380.007,748.00453283283197353310600800135422,673.701,300.004228361521566707.91,700.001,160.001,352.002804,046.5048.151691,250.0039215082401,200.00 260.614110,850.000.11,352.003001,400.00337.82,310.004,250.001,553.872,395.008454251,603.2085127.5707.9810857.6283.05165507155014,158.008502,233.002,233.001,416.003,794.503,794.50400"
2016-04,"7041,353.002244,495.002,811.003,522.00607404,875.0040210,550.002,440.002552601,060.005506012,678.001,831.002,365.203,380.003301,200.001644,332.903,610.007,748.002,550.0015,000.00180.310,249.00904537393533106008001,042.00340135428872,673.70561,300.002,550.001,133.00421623401135102832031,040.0035090615562,400.00211,400.006,650.00566350707.9259251,700.001,160.004253411,220.003241,352.006804346159151,409.006,650.002804,046.50200396368.1748.153966601701201693741,250.0040215082002122112,200.001,200.00290100 502,350.0040014110,850.003901751843301,352.00181566.210056630010,249.001,400.0065212556.32824,875.001,400.005503606563104,875.001,553.876502,395.00510424.9845110481422.6678127.5707.97.18100622.481,700.00857.6283.05250283.21,700.0051042.5338.63566.4339.81702,200.007001651,274.005071059,617.501,415.845201,699.00400400113.33,397.004,265.491,841.0014,158.001,274.002,650.001,696.088507,297.252,322.001,540.002,233.002,233.002,548.501,416.0016,311.008,495.006,230.006,650.009683,794.503,794.506,650.004001,982.2010,030.37566"
2016-05,"7041,353.007,686.004,495.003,522.00605,981.007404,875.0040210,550.00606421,831.002,365.203301644,332.903,610.0019,003.002781,700.001604537393533101706008001,042.00421,300.002,550.008,452.002832031,040.003,381.001703509251,700.001,160.004,050.0030680698.61,409.001102804,046.501,700.001742005,050.003961,260.00660170456120311114837445040218215081302002122111,510.001,200.002904401002,350.004009152,826.40339.86235641818,384.601003005643807001,400.0068125337.885015556.312,010.004,875.0019,003.00281.13965661354,875.001,553.876502,395.00330424.9845425110481422.6423.670.8707.97.1020,550.00622.4820857.6283.0525042.5185566.4339.87001651,274.00450283.17113.281,700.005071053.51551,415.845201,699.007,787.261,415.844004003,397.004,265.491,841.0014,158.006,218.002,650.008503207,297.252,322.008,043.0011,163.008,384.601,700.0010,142.64281.116,311.008,495.006,230.005,947.008,467.003,794.503,794.504,814.004,814.00400480566"
2016-06,"2,000.004,495.002,811.006492552606,700.006,180.001,831.002,365.203,380.001,200.004,332.903,610.007,748.002,550.0015,000.001,700.001606,229.001701,042.001,050.003,110.005634288799562,550.0051.5426236051,040.001,972.0035012,008.506,650.00566707.91,700.004742503068043954,131.001,237.00698.66,650.00431102802121,260.0048.151801133921,183.00132474130212 2,350.0040014110,850.00175250339.86801,272.008,384.60566380566.3681,359.0015556.3453903965091351554246231,648.301,755.008972,000.006502,395.001501,048.00986424510283.2481198.2423.670.8678127.57.1810622.481,700.00283.21,700.0051042.5185566.41651,274.00450283.17507169.91,415.842003,823.005201,699.007,787.261,415.841,359.004004001,136.701,648.3004,270.001,274.001,272.006,218.008503207,297.252,233.002,233.008,043.002,548.501,696.003,256.401,416.008,384.601,700.001,342.0016,311.005106,650.009683,794.503,794.504,814.006,650.004,814.001,982.2028,037.00"
2016-07,"2,811.008,050.009901,200.003,610.007,748.002,550.0015,000.0019,003.001,090.008001,042.001,050.00180561,300.002,550.0051.511355044528322535012,008.50707.91,160.0047443698.64320039648.1566545618016931184741002122901124001,865.00400175250623181283.21,272.005663,681.006525008,050.0019,003.00281.12,407.00566155140424897424330140.911071070.8127.57.181020,550.00283.23,398.001,274.00283.171,062.00851053.51281,700.005204004002,718.004,672.004,672.0014,158.001,272.002,650.001,415.842,840.008,043.00281.19683,446.003,794.503,794.504,814.004,814.001,982.20"
2016-08,"1,606.002,811.006010,550.002555502,365.203,610.006007,748.002,550.0015,000.0019,003.001,050.0042162113445225615707.94328048.154561822837361846231,272.00158380652337.850019,003.00903965094241,755.00424510330424.9110198.2423.6678127.58101,700.001,700.005101651051551,415.844,270.001,841.004,672.004,672.001,272.002,322.002,233.002,233.001,342.003,794.503,794.501,982.20"
2016-09,"2,811.006040210,550.003,380.002,550.0010,249.00421,040.001528020012031110,249.0068337.8566.470045050712,035.001551,415.8485010,030.37"
2016-10,"1,831.0050651.562343182400280623110105"
2016-11,"7,686.002,811.003,522.00740602,550.0025707.948.151,400.00127.58101,982.20"
2016-12,"1,355.0099097.54531807066.5169.9566480"
2017-01,"4,562.002802,407.00"
2017-02,283
2017-03,"7043,522.004023307391,700.003414,046.506603741,200.002,826.401,400.00250338.637004,265.49"
2017-04,"6010,550.003,610.00421,400.006,650.004,131.00698.66,650.002802008184181681,400.005501,755.00110622.481401651053.51,415.841,699.001,841.008502,322.001,540.006,650.006,650.00"
2017-05,"7041,606.002,000.007,686.002244,495.002,811.003,522.006074064940210,550.002,440.002552606,700.005501,831.002,365.203,380.003301,200.003,610.002,550.0027810,249.001,700.00225453283283197739353310442.31,042.00340135563422,673.701,300.002,550.0051.540426238,452.00162340605113905501,972.003,381.009061512,008.50707.91,700.00565341168.94,050.0070621,352.006801104615435702801,700.00396212368.173966656601701691143741,250.0039213281005102122111,510.00240283 50260.64001,132.0014110,850.007361,234.006800.13301,352.00564181283.228357010,249.005647001,400.00150125337.81,359.0085042428212,010.00281.1396.45505095663601456231242,000.005649868454251,603.20110198.2678707.97.18100650622.4820857.6283.05250283.2510338.63566.4339.81707001651,274.001,999.00283.171,700.005071052839,617.501555201,699.001,359.004004003,397.001,132.0004,265.491,841.001,274.002,650.001,696.083202,322.002,840.002,233.002,233.004,531.002,548.501,416.00281.11,342.008,495.006,230.005,947.009683,446.003,794.503,794.5010,030.37"
2017-06,"1,353.002242,811.006064910,550.002556,180.005506007,748.001,700.001608001,042.00428871,300.002,550.00421132831,040.00615562,400.002112,008.501,400.006,650.00251,160.001,220.003244,131.006,650.001102804,046.502003961801131691141,250.003921,183.001302122,200.001,200.00290400141339.8713.83,115.00181283566.3652337.856.31,400.00706281.12,407.005661351554251,755.001,553.873801501,603.20110481423.67.12,550.0042.51852,200.001651,274.005071051551,415.84520400400113.301,841.0014,158.008502,322.001,540.002,840.002,233.002,233.004,531.001,416.00281.15106,650.003,446.006,650.00566"
